PROCESSO ADMIN. Nº,PROCESSO Nº,Nº DE PERÍCIAS__gt,Nº DE PERÍCIAS__pred,status
2000001174,0804912-36.2023.8.15.0251,152,00,Mismatch
2005042413,0000421-41.2018.8.15.0171,153,00,Mismatch
2025815038,0800190-70.2025.8.15.2002,154,00,Mismatch
019842-98.2025.8.15,0803178-48.2023.8.15.0381,155,00,Mismatch
019882-96.2025.8.15,0805282-72.2025.8.15.0371,156,00,Mismatch
019888-86.2025.8.15,0804342-10.2025.8.15.0371,157,00,Mismatch
2035800265,0801427-31.2023.8.15.0541,158,00,Mismatch
2025815054,0800443-76.2025.8.15.0541,159,00,Mismatch
019948-83.2025.8.15,,160,00,Mismatch
2025.815,0800533-41.2025.8.15.0911,161,00,Mismatch
2025.815,0801435-28.2024.8.15.0911,162,00,Mismatch
2035800265,0800813-55.2025.8.15.0541,163,00,Mismatch
2025.815,0801009-25.2025.8.15.0541,164,00,Mismatch
2005042413,0804093-31.2024.8.15.0521,165,00,Mismatch
2025605341,0800397-06.2023.8.15.0041,166,00,Mismatch
2042522400,0801708-71.2022.8.20.5103,167,00,Mismatch
2071857622,0800148-26.2021.8.15.0041,168,00,Mismatch
2013378261,0800529-34.2021.8.15.0041,169,00,Mismatch
2000000968,0801039-47.2021.8.15.0041,170,00,Mismatch
2064.2025,0801832-91.2025.8.15.0381,171,00,Mismatch
2091157496,0801594-25.2021.8.15.0151,172,00,Mismatch
2018000001,0801648-92.2024.8.15.0051,173,00,Mismatch
2050530850,0800916-47.2025.8.15.0061,174,00,Mismatch
2025.815,0801030-80.2025.8.15.2002,175,00,Mismatch
2063.6187,0800020-53.2021.8.15.0381,176,00,Mismatch
2025.2025,0804115-43.2025.8.15.0331,177,00,Mismatch
2025.2025,0800917-95.2025.8.15.0331,178,00,Mismatch
2060230000,0843813-32.2021.8.15.2001,179,00,Mismatch
2082900000,0801020-63.2025.8.15.0441,180,00,Mismatch
2014464000,0800247-91.2021.8.15.0171,181,00,Mismatch
2042000001,0800805-87.2025.8.15.0441,182,00,Mismatch
2070000011,0801993-52.2024.8.15.0441,183,00,Mismatch
2025.815,0805007-48.2023.8.15.2003,184,00,Mismatch
2021718063,0800893-28.2025.8.15.0441,185,00,Mismatch
2020.04453,0800781-59.2025.8.15.0441,186,00,Mismatch
2086894713,0006625-63.2012.8.15.0381,187,00,Mismatch
2010011233,0801255-46.2025.8.15.0371,188,00,Mismatch
2063.8413,0804389-56.2022.8.15.0381,189,00,Mismatch
2000001017,0800305-37.2025.8.15.0371,190,00,Mismatch
020858-86.2025.8.15,0801067-10.2025.8.15.0741,191,00,Mismatch
020859-52.2025.8.15,0801753-38.2022.8.15.0181,192,00,Mismatch
2037800000,0801410-73.2024.8.15.0051,193,00,Mismatch
2023.815,,194,00,Mismatch
2022.815,0801157-23.2022.8.15.0741,195,00,Mismatch
2000000990,0800780-74.2018.8.15.0391,196,00,Mismatch
2012031130,0802311-30.2020.8.15.0391,197,00,Mismatch
021224-58.2025.8.15,0801253-63.2025.8.15.0731,198,00,Mismatch
2000001166,0800375-81.2025.8.15.0071,199,00,Mismatch
2025.815,0800140-74.2025.8.15.0731,200,00,Mismatch
2024815073,0800317-38.2025.8.15.0731,201,00,Mismatch
2078.064,0800945-31.2023.8.15.0041,202,00,Mismatch
021359-27.2025.8.15,0801590-97.2025.8.15.0231,203,00,Mismatch
2005042413,0801030-05.2024.8.15.0551,204,00,Mismatch
2005042413,0800124-78.2025.8.15.0551,205,00,Mismatch
2005042413,0800833-16.2025.8.15.0551,206,00,Mismatch
2023813000,0800483-29.2023.8.15.0541,207,00,Mismatch
2096.296,0866055-87.2018.8.15.2001,208,00,Mismatch
2044.2025,0805172-81.2020.8.15.0231,209,00,Mismatch
2013826054,0801803-65.2024.8.15.0061,210,00,Mismatch
021510-34.2025.8.15,0828969-58.2024.8.15.0001,211,00,Mismatch
2025605828,0802846-46.2023.8.15.0231,212,00,Mismatch
2071513495,0800465-07.2022.8.15.0391,213,00,Mismatch
2061216362,0800885-94.2022.8.15.0881,214,00,Mismatch
021726-62.2025.8.15,0809943-31.2024.8.15.0371,215,00,Mismatch
2000001173,0800430-22.2022.8.15.0561,216,00,Mismatch
022027-13.2025.8.15,0801232-63.2025.8.15.0351,217,00,Mismatch
2025.815,0802789-85.2025.8.15.0351,218,00,Mismatch
022061-21.2025.8.15,0802787-18.2025.8.15.0351,219,00,Mismatch
2022.815,0806165-11.2022.8.15.0731,220,00,Mismatch
2008324544,0800016-38.2023.8.15.0351,221,00,Mismatch
2045545624,0818809-90.2021.8.15.2001,222,00,Mismatch
