PROCESSO ADMIN. Nº,PROCESSO Nº,Valor Tabelado Anexo I - Tabela I__gt,Valor Tabelado Anexo I - Tabela I__pred,status
2005042413,0801308-53.2022.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800488-97.2023.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2040.2025,0800013-05.2024.8.15.0301,"R$ 30.000,00","R$ 30.000,00",TP
2016.2025,0801129-93.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2066.61454,0800827-04.2025.8.15.0391,"R$ 30.000,00","R$ 30.000,00",TP
2010011233,0807839-66.2024.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2066.61454,0800796-81.2025.8.15.0391,"R$ 30.000,00","R$ 30.000,00",TP
2000000116,0806259-98.2024.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2020251015,0801390-11.2024.8.15.0301,"R$ 30.000,00","R$ 30.000,00",TP
019471-05.2025.8.15,0804302-28.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2025115000,0802809-16.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
019489-72.2025.8.15,0801811-43.2025.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
019492-67.2025.8.15,0801811-43.2025.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
019493-33.2025.8.15,0802123-19.2025.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
2004555510,0801364-55.2025.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
2004555510,0801364-55.2025.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
2035800265,0801747-95.2023.8.15.0601,"R$ 30.000,00","R$ 30.000,00",TP
2010000010,0800659-22.2025.8.15.0061,,,TN
2000000859,0802115-34.2023.8.15.0301,"R$ 30.000,00","R$ 30.000,00",TP
2035800265,0801944-16.2024.8.15.0601,"R$ 30.000,00","R$ 30.000,00",TP
2035800265,,"R$ 30.000,00","R$ 30.000,00",TP
019534-94.2025.8.15,0800930-65.2024.8.15.0061,"R$ 30.000,00","R$ 30.000,00",TP
2022.815,0801780-86.2022.8.15.0321,"R$ 30.000,00","R$ 30.000,00",TP
2024.815,,"R$ 30.000,00","R$ 30.000,00",TP
2094901533,0801418-16.2024.8.15.0321,"R$ 30.000,00","R$ 30.000,00",TP
2028485270,0802956-63.2024.8.15.0731,,,TN
2013.950,0000185-04.2015.8.15.1171,,,TN
2000000999,0802246-46.2024.8.15.0051,,,TN
019677-82.2025.8.15,0804801-12.2025.8.15.0371,,,TN
019678-48.2025.8.15,0805172-73.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2029.618,0803293-97.2016.8.15.2003,,,TN
2005042413,0802388-85.2024.8.15.0201,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0802446-54.2025.8.15.0201,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0802287-14.2025.8.15.0201,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0801360-17.2024.8.15.0061,,,TN
2005042413,0802410-12.2025.8.15.0201,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0802409-27.2025.8.15.0201,"R$ 30.000,00","R$ 30.000,00",TP
2000001174,0804912-36.2023.8.15.0251,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0000421-41.2018.8.15.0171,"R$ 30.000,00","R$ 30.000,00",TP
2025815038,0800190-70.2025.8.15.2002,"R$ 30.000,00","R$ 30.000,00",TP
019842-98.2025.8.15,0803178-48.2023.8.15.0381,"R$ 30.000,00","R$ 30.000,00",TP
019882-96.2025.8.15,0805282-72.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
019888-86.2025.8.15,0804342-10.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2035800265,0801427-31.2023.8.15.0541,"R$ 30.000,00","R$ 30.000,00",TP
2025815054,0800443-76.2025.8.15.0541,"R$ 30.000,00","R$ 30.000,00",TP
019948-83.2025.8.15,,,,TN
2025.815,0800533-41.2025.8.15.0911,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0801435-28.2024.8.15.0911,"R$ 30.000,00","R$ 30.000,00",TP
2035800265,0800813-55.2025.8.15.0541,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0801009-25.2025.8.15.0541,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0804093-31.2024.8.15.0521,"R$ 30.000,00","R$ 30.000,00",TP
2025605341,0800397-06.2023.8.15.0041,"R$ 30.000,00","R$ 30.000,00",TP
2042522400,0801708-71.2022.8.20.5103,"R$ 30.000,00","R$ 30.000,00",TP
2071857622,0800148-26.2021.8.15.0041,"R$ 30.000,00","R$ 30.000,00",TP
2013378261,0800529-34.2021.8.15.0041,"R$ 30.000,00","R$ 30.000,00",TP
2000000968,0801039-47.2021.8.15.0041,"R$ 30.000,00","R$ 30.000,00",TP
2064.2025,0801832-91.2025.8.15.0381,"R$ 30.000,00","R$ 30.000,00",TP
2091157496,0801594-25.2021.8.15.0151,"R$ 43.000,00","R$ 43.000,00",TP
2018000001,0801648-92.2024.8.15.0051,"R$ 30.000,00","R$ 30.000,00",TP
2050530850,0800916-47.2025.8.15.0061,,,TN
2025.815,0801030-80.2025.8.15.2002,"R$ 30.000,00","R$ 30.000,00",TP
2063.6187,0800020-53.2021.8.15.0381,"R$ 30.000,00","R$ 30.000,00",TP
2025.2025,0804115-43.2025.8.15.0331,"R$ 30.000,00","R$ 30.000,00",TP
2025.2025,0800917-95.2025.8.15.0331,"R$ 30.000,00","R$ 30.000,00",TP
2060230000,0843813-32.2021.8.15.2001,"R$ 30.000,00","R$ 30.000,00",TP
2082900000,0801020-63.2025.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2014464000,0800247-91.2021.8.15.0171,"R$ 30.000,00","R$ 30.000,00",TP
2042000001,0800805-87.2025.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2070000011,0801993-52.2024.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0805007-48.2023.8.15.2003,"R$ 43.000,00","R$ 43.000,00",TP
2021718063,0800893-28.2025.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2020.04453,0800781-59.2025.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2086894713,0006625-63.2012.8.15.0381,"R$ 30.000,00","R$ 30.000,00",TP
2010011233,0801255-46.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2063.8413,0804389-56.2022.8.15.0381,"R$ 30.000,00","R$ 30.000,00",TP
2000001017,0800305-37.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
020858-86.2025.8.15,0801067-10.2025.8.15.0741,"R$ 30.000,00","R$ 30.000,00",TP
020859-52.2025.8.15,0801753-38.2022.8.15.0181,"R$ 30.000,00","R$ 30.000,00",TP
2037800000,0801410-73.2024.8.15.0051,,,TN
2023.815,,"R$ 30.000,00","R$ 30.000,00",TP
2022.815,0801157-23.2022.8.15.0741,"R$ 30.000,00","R$ 30.000,00",TP
2000000990,0800780-74.2018.8.15.0391,,,TN
2012031130,0802311-30.2020.8.15.0391,,,TN
021224-58.2025.8.15,0801253-63.2025.8.15.0731,"R$ 30.000,00","R$ 30.000,00",TP
2000001166,0800375-81.2025.8.15.0071,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0800140-74.2025.8.15.0731,"R$ 30.000,00","R$ 30.000,00",TP
2024815073,0800317-38.2025.8.15.0731,"R$ 30.000,00","R$ 30.000,00",TP
2078.064,0800945-31.2023.8.15.0041,"R$ 30.000,00","R$ 30.000,00",TP
021359-27.2025.8.15,0801590-97.2025.8.15.0231,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801030-05.2024.8.15.0551,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800124-78.2025.8.15.0551,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800833-16.2025.8.15.0551,"R$ 30.000,00","R$ 30.000,00",TP
2023813000,0800483-29.2023.8.15.0541,"R$ 30.000,00","R$ 30.000,00",TP
2096.296,0866055-87.2018.8.15.2001,,,TN
2044.2025,0805172-81.2020.8.15.0231,"R$ 30.000,00","R$ 30.000,00",TP
2013826054,0801803-65.2024.8.15.0061,"R$ 30.000,00","R$ 30.000,00",TP
021510-34.2025.8.15,0828969-58.2024.8.15.0001,"R$ 30.000,00","R$ 30.000,00",TP
2025605828,0802846-46.2023.8.15.0231,"R$ 30.000,00","R$ 30.000,00",TP
2071513495,0800465-07.2022.8.15.0391,,,TN
2061216362,0800885-94.2022.8.15.0881,,,TN
021726-62.2025.8.15,0809943-31.2024.8.15.0371,"R$ 30.000,00","R$ 30.000,00",TP
2000001173,0800430-22.2022.8.15.0561,,,TN
022027-13.2025.8.15,0801232-63.2025.8.15.0351,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0802789-85.2025.8.15.0351,"R$ 30.000,00","R$ 30.000,00",TP
022061-21.2025.8.15,0802787-18.2025.8.15.0351,"R$ 30.000,00","R$ 30.000,00",TP
2022.815,0806165-11.2022.8.15.0731,"R$ 30.000,00","R$ 30.000,00",TP
2008324544,0800016-38.2023.8.15.0351,"R$ 30.000,00","R$ 30.000,00",TP
2045545624,0818809-90.2021.8.15.2001,"R$ 43.000,00","R$ 43.000,00",TP
