PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
018548-56.2025.8.15,0802240-10.2025.8.15.0211,018548_56_2025_8_15_SEI_018548_56.2025.8.15.zip,018548_56_2025_8_15_SEI_018548_56.2025.8.15.zip,TP
2017.2711,0802271-30.2025.8.15.0211,018560_36_2025_8_15_SEI_018560_36.2025.8.15.zip,018560_36_2025_8_15_SEI_018560_36.2025.8.15.zip,TP
2061.1718,0800708-98.2025.8.15.0211,018563_31_2025_8_15_SEI_018563_31.2025.8.15.zip,018563_31_2025_8_15_SEI_018563_31.2025.8.15.zip,TP
2000001141,0802016-81.2024.8.15.0381,018603_29_2025_8_15_SEI_018603_29.2025.8.15.zip,018603_29_2025_8_15_SEI_018603_29.2025.8.15.zip,TP
2025.2025,0859010-90.2022.8.15.2001,018677_35_2025_8_15_SEI_018677_35.2025.8.15.zip,018677_35_2025_8_15_SEI_018677_35.2025.8.15.zip,TP
2023.815,,018726_18_2025_8_15_SEI_018726_18.2025.8.15.zip,018726_18_2025_8_15_SEI_018726_18.2025.8.15.zip,TP
2025.815,0801715-88.2025.8.15.0191,018731_42_2025_8_15_SEI_018731_42.2025.8.15.zip,018731_42_2025_8_15_SEI_018731_42.2025.8.15.zip,TP
2011317294,0802898-94.2021.8.15.0301,018763_21_2025_8_15_SEI_018763_21.2025.8.15.zip,018763_21_2025_8_15_SEI_018763_21.2025.8.15.zip,TP
2010011233,0806043-06.2025.8.15.0371,018893_63_2025_8_15_SEI_018893_63.2025.8.15.zip,018893_63_2025_8_15_SEI_018893_63.2025.8.15.zip,TP
2010011233,0805174-43.2025.8.15.0371,018894_29_2025_8_15_SEI_018894_29.2025.8.15.zip,018894_29_2025_8_15_SEI_018894_29.2025.8.15.zip,TP
2005042413,0801931-87.2023.8.15.0201,018905_43_2025_8_15_SEI_018905_43.2025.8.15.zip,018905_43_2025_8_15_SEI_018905_43.2025.8.15.zip,TP
2035.2025,0024880-24.2010.8.15.2003,018949_02_2025_8_15_SEI_018949_02.2025.8.15.zip,018949_02_2025_8_15_SEI_018949_02.2025.8.15.zip,TP
2024.815,,018961_79_2025_8_15_SEI_018961_79.2025.8.15.zip,018961_79_2025_8_15_SEI_018961_79.2025.8.15.zip,TP
2024.815,,018967_69_2025_8_15_SEI_018967_69.2025.8.15.zip,018967_69_2025_8_15_SEI_018967_69.2025.8.15.zip,TP
2024.815,,018971_30_2025_8_15_SEI_018971_30.2025.8.15.zip,018971_30_2025_8_15_SEI_018971_30.2025.8.15.zip,TP
2025.815,0804349-58.2022.8.15.2003,018981_78_2025_8_15_SEI_018981_78.2025.8.15.zip,018981_78_2025_8_15_SEI_018981_78.2025.8.15.zip,TP
2025100613,0804876-33.2023.8.15.0141,018983_10_2025_8_15_SEI_018983_10.2025.8.15.zip,018983_10_2025_8_15_SEI_018983_10.2025.8.15.zip,TP
2027165660,0802105-51.2025.8.15.0161,019029_95_2025_8_15_SEI_019029_95.2025.8.15.zip,019029_95_2025_8_15_SEI_019029_95.2025.8.15.zip,TP
2008.2025,0800975-39.2024.8.15.0071,019056_50_2025_8_15_SEI_019056_50.2025.8.15.zip,019056_50_2025_8_15_SEI_019056_50.2025.8.15.zip,TP
2000001168,0000194-63.2015.8.15.1171,019069_93_2025_8_15_SEI_019069_93.2025.8.15.zip,019069_93_2025_8_15_SEI_019069_93.2025.8.15.zip,TP
